Protein,Length,MolecularWeight,Aromaticity,Hydrophobicity_GRAVY
TC.CA.PGAv.1.6.scaffold1856.2,382,49569.380000000005,0.08638743455497382,-0.432460732984293
TC.CA.PGAv.1.6.scaffold1856.1,483,61935.15999999997,0.12422360248447205,0.6751552795031064
TC.CA.PGAv.1.6.scaffold1856.4,560,74406.29000000001,0.0875,-0.6082142857142845
TC.CA.PGAv.1.6.scaffold1856.3,94,12569.589999999997,0.09574468085106383,-0.5531914893617019
TC.CA.PGAv.1.6.scaffold774.15,171,22846.44,0.04678362573099415,-0.47777777777777786
TC.CA.PGAv.1.6.scaffold774.14,347,41498.829999999994,0.04899135446685879,-0.32968299711815574
TC.CA.PGAv.1.6.scaffold774.13,172,21784.980000000003,0.08139534883720931,-0.4744186046511629
TC.CA.PGAv.1.6.scaffold774.12,52,6843.509999999998,0.07692307692307693,-0.6096153846153844
TC.CA.PGAv.1.6.scaffold774.11,169,21837.09999999999,0.11242603550295859,-0.40177514792899405
TC.CA.PGAv.1.6.scaffold774.10,984,124576.10999999937,0.07723577235772358,0.11656504065040649
TC.CA.PGAv.1.6.scaffold774.19,416,52795.31000000003,0.036057692307692304,-0.41418269230769245
TC.CA.PGAv.1.6.scaffold774.18,256,33327.86000000003,0.05859375,-0.36210937500000023
TC.CA.PGAv.1.6.scaffold774.17,159,21573.140000000007,0.06289308176100629,-0.5968553459119498
TC.CA.PGAv.1.6.scaffold774.16,171,22841.420000000013,0.04678362573099415,-0.4432748538011698
TC.CA.PGAv.1.6.scaffold774.26,1842,243896.67999999903,0.08360477741585233,-0.38425624321389723
TC.CA.PGAv.1.6.scaffold774.25,254,32526.749999999964,0.07086614173228346,-0.40984251968503993
TC.CA.PGAv.1.6.scaffold774.24,250,31426.57000000005,0.044,-0.10880000000000031
TC.CA.PGAv.1.6.scaffold774.23,103,13306.54,0.07766990291262135,-0.511650485436893
TC.CA.PGAv.1.6.scaffold774.22,116,15123.080000000004,0.1206896551724138,0.1129310344827586
TC.CA.PGAv.1.6.scaffold774.21,121,15948.520000000011,0.05785123966942149,-0.7685950413223142
TC.CA.PGAv.1.6.scaffold774.20,157,19596.080000000013,0.025477707006369428,-0.2834394904458598
TC.CA.PGAv.1.6.scaffold1264.3,777,100074.28999999956,0.06177606177606178,-0.46589446589446587
TC.CA.PGAv.1.6.scaffold1264.2,197,24817.960000000003,0.050761421319796954,0.23705583756345153
TC.CA.PGAv.1.6.scaffold425.1,145,18920.350000000013,0.08275862068965517,-0.14689655172413776
TC.CA.PGAv.1.6.scaffold1264.5,248,32788.92999999997,0.10483870967741936,-0.7661290322580645
TC.CA.PGAv.1.6.scaffold1264.4,82,10734.090000000002,0.04878048780487805,-0.6414634146341462
TC.CA.PGAv.1.6.scaffold774.29,351,44791.389999999956,0.07122507122507123,-0.4145299145299142
TC.CA.PGAv.1.6.scaffold774.28,581,76710.87999999979,0.05679862306368331,-0.9779690189328745
TC.CA.PGAv.1.6.scaffold1264.1,109,13803.570000000009,0.06422018348623854,0.2504587155963304
TC.CA.PGAv.1.6.scaffold774.27,574,75316.85999999988,0.10104529616724739,-0.3205574912891984
TC.CA.PGAv.1.6.scaffold1856.6,237,30158.949999999997,0.0759493670886076,-0.18945147679324897
TC.CA.PGAv.1.6.scaffold1856.5,301,38196.89000000001,0.046511627906976744,-0.043853820598006674
TC.CA.PGAv.1.6.scaffold1856.8,176,22278.209999999995,0.07386363636363637,0.3005681818181812
TC.CA.PGAv.1.6.scaffold1856.7,793,103568.30999999943,0.1021437578814628,-0.037074401008827654
TC.CA.PGAv.1.6.scaffold1856.9,202,26124.360000000004,0.1188118811881188,-0.6985148514851491
TC.CA.PGAv.1.6.scaffold774.37,777,101894.31999999963,0.0694980694980695,-0.7052767052767035
TC.CA.PGAv.1.6.scaffold774.36,194,25278.400000000005,0.030927835051546393,-0.5577319587628867
TC.CA.PGAv.1.6.scaffold774.35,326,41836.029999999984,0.049079754601226995,-0.7125766871165646
TC.CA.PGAv.1.6.scaffold774.34,723,95377.90999999983,0.07330567081604426,-0.6702627939142447
TC.CA.PGAv.1.6.scaffold774.33,561,73900.98999999986,0.0570409982174688,-0.9393939393939383
TC.CA.PGAv.1.6.scaffold774.32,380,49461.66999999998,0.0868421052631579,-0.3131578947368423
TC.CA.PGAv.1.6.scaffold774.31,412,53923.37000000001,0.10922330097087378,-0.19101941747572854
TC.CA.PGAv.1.6.scaffold774.30,437,57355.62999999986,0.043478260869565216,-1.083295194508008
